ASTEROID_NUMBER,PROVISIONAL_ID,PROPER_A,PROPER_ECC,SINE_PROPER_INCL,FAMILY_NAME,CLUMP_FLAG,CONFIDENCE_LEVEL
2200,---,2.40514,0.1829,0.0856,---,-,9
2203,---,3.10931,0.1508,0.0210,Themis,F,3
2205,---,3.00535,0.0875,0.1983,---,-,9
2206,---,3.01550,0.0785,0.1710,Eos,F,3
2209,---,2.84651,0.0483,0.0375,Koronis,F,3
2210,---,2.40349,0.1903,0.0361,Nysa,F,3
2211,---,3.17687,0.0868,0.2821,Tunica,C,0
2213,---,2.19818,0.1659,0.0791,---,-,9
2214,---,3.15958,0.2412,0.2508,---,-,9
2215,---,2.79200,0.2377,0.1600,---,-,9
2216,---,3.01905,0.0729,0.1698,Eos,F,3
2217,---,3.15796,0.1579,0.0228,Themis,F,3
2218,---,3.04279,0.1545,0.2314,---,-,9
2219,---,3.15420,0.0851,0.1137,---,-,9
2220,---,3.14998,0.1367,0.0243,Themis,F,3
2221,---,2.59094,0.0863,0.2562,Maria,F,3
2222,---,3.11595,0.1605,0.0230,Themis,F,3
2224,---,2.88100,0.0480,0.0354,Koronis,F,3
2225,---,2.85242,0.0489,0.0372,Koronis,F,3
2226,---,2.86897,0.0450,0.0362,Koronis,F,3
2227,---,2.23611,0.1933,0.0926,---,-,9
2228,---,3.14291,0.1619,0.0240,Themis,F,3
2229,---,2.69400,0.2490,0.2281,---,-,9
2230,---,2.85830,0.0426,0.0378,Koronis,F,3
2231,---,2.72867,0.2080,0.1475,---,-,9
2232,---,2.66735,0.1241,0.0776,---,-,9
2233,---,2.27831,0.0775,0.0715,---,-,9
2236,---,2.34491,0.1689,0.1756,---,-,9
2237,---,3.15390,0.1789,0.0233,Themis,F,3
2238,---,3.06505,0.1504,0.0228,Themis,F,3
2239,---,3.19324,0.0896,0.1844,---,-,9
2240,---,3.15327,0.1460,0.0132,Themis,F,3
2242,---,2.20821,0.1442,0.0412,---,-,9
2243,---,2.24831,0.1388,0.1127,Flora,F,1
2244,---,2.81134,0.1506,0.1182,---,-,9
2245,---,2.63693,0.1142,0.1866,---,-,9
2247,---,2.44918,0.0900,0.1019,---,-,9
2248,---,3.09969,0.1506,0.0268,Themis,F,3
2249,---,3.18637,0.1025,0.0606,---,-,9
2250,---,3.17540,0.1756,0.0244,Themis,F,3
2251,---,2.71070,0.1068,0.1310,---,-,9
2252,---,2.61638,0.0415,0.0774,---,-,9
2253,---,2.28400,0.2335,0.0570,---,-,9
2254,---,2.34229,0.1108,0.0915,---,-,9
2255,---,3.10001,0.1359,0.2263,---,-,9
2256,---,3.09717,0.1550,0.0134,Themis,F,3
2257,---,2.48453,0.1949,0.1009,---,-,9
2258,---,2.69393,0.1030,0.0416,---,-,9
2259,---,2.29385,0.1599,0.0926,Flora,F,2
2262,---,2.58676,0.2473,0.2165,---,-,9
2263,---,3.01591,0.0793,0.1826,Eos,F,3
2264,---,3.13059,0.1553,0.0232,Themis,F,3
2267,---,2.21745,0.1268,0.0381,---,-,9
2268,---,2.94077,0.0915,0.0371,Koronis,F,2
2269,---,3.12881,0.0839,0.2488,---,-,9
2270,---,3.15085,0.1518,0.0190,Themis,F,3
2271,---,2.75938,0.0475,0.0467,Lydia,F,1
2273,---,2.45172,0.1813,0.0108,---,-,9
2274,---,2.40922,0.2696,0.0452,---,-,9
2275,---,2.29616,0.1240,0.1176,---,-,9
2276,---,2.37484,0.1664,0.0530,Nysa,F,1
2277,---,2.60124,0.1595,0.1863,Eunomia,F,1
2278,---,2.45163,0.1582,0.0603,Nysa,F,1
2279,---,2.45984,0.1877,0.0419,Nysa,F,2
2280,---,2.17881,0.1024,0.0557,---,-,9
2281,---,2.18821,0.0868,0.0362,---,-,9
2282,---,2.20323,0.1268,0.0986,---,-,9
2283,---,2.24887,0.1400,0.1211,---,-,9
2284,---,2.32560,0.0841,0.0880,---,-,9
2285,---,2.22021,0.1482,0.0878,Flora,F,1
2286,---,2.19261,0.0358,0.0128,---,-,9
2287,---,2.24014,0.1243,0.0781,Flora,F,2
2288,---,2.90954,0.2049,0.2423,---,-,9
2289,---,2.63542,0.1777,0.0419,Misa,F,2
2290,---,2.59112,0.2182,0.2017,Dejanira,C,0
2292,---,2.61902,0.2009,0.2527,---,-,9
2293,---,3.13753,0.1546,0.0211,Themis,F,3
2294,---,2.58114,0.0875,0.1276,---,-,9
2295,---,2.90318,0.0584,0.0614,---,-,9
2296,---,3.19353,0.1745,0.0199,Themis,F,3
2297,---,3.16409,0.1558,0.0186,Themis,F,3
2298,---,2.40619,0.1334,0.0969,---,-,9
2299,---,2.58559,0.2502,0.0875,Hanko,C,0
2300,---,2.83854,0.0461,0.0367,Koronis,F,3
2301,---,3.15734,0.2274,0.1755,---,-,9
2302,---,2.64554,0.1480,0.2305,Eunomia,F,3
2304,---,2.61265,0.1438,0.2390,Eunomia,F,3
2305,---,2.78612,0.0132,0.1247,---,-,9
2306,---,2.73203,0.0311,0.0892,Lydia,F,3
2307,---,3.04597,0.0880,0.1523,---,-,9
2308,---,2.54745,0.1771,0.2362,---,-,9
2309,---,3.01251,0.0778,0.1834,Eos,F,3
2310,---,3.15034,0.1526,0.0282,Themis,F,3
