asteroid number,asteroid name,wavelength,reflectance,uncertainty
1086,nata,1.0342,0.98699,0.00867
1086,nata,1.0382,0.97299,0.00854
1086,nata,1.0421,0.97618,0.00858
1086,nata,1.0461,0.98232,0.00857
1086,nata,1.0501,0.99805,0.00861
1086,nata,1.0542,0.98899,0.00848
1086,nata,1.0582,0.99551,0.00847
1086,nata,1.0622,0.99022,0.00842
1086,nata,1.0663,0.98219,0.00845
1086,nata,1.0703,0.99837,0.00862
1086,nata,1.0744,0.98735,0.00858
1086,nata,1.0785,0.97975,0.00858
1086,nata,1.0826,0.9853,0.00863
1086,nata,1.0866,0.98232,0.00861
1086,nata,1.0908,0.98051,0.00861
1086,nata,1.0949,0.97996,0.00859
1086,nata,1.099,0.98629,0.00863
1086,nata,1.1031,0.9966,0.00864
1086,nata,1.1073,0.98682,0.00855
1086,nata,1.1114,0.98855,0.00855
1086,nata,1.1156,0.98147,0.00864
1086,nata,1.1198,0.9858,0.00872
1086,nata,1.1239,0.98736,0.009
1086,nata,1.1281,0.96673,0.00887
1086,nata,1.1323,0.97576,0.00892
1086,nata,1.1365,0.98793,0.00898
1086,nata,1.1407,0.98712,0.009
1086,nata,1.1449,0.97998,0.00882
1086,nata,1.1491,0.98673,0.00892
1086,nata,1.1533,0.98288,0.00875
1086,nata,1.1576,0.99076,0.00875
1086,nata,1.1618,0.99282,0.00866
1086,nata,1.166,0.99052,0.00855
1086,nata,1.1703,0.99219,0.00845
1086,nata,1.1745,0.9977,0.00844
1086,nata,1.1788,0.99347,0.00834
1086,nata,1.183,0.99227,0.00835
1086,nata,1.1873,0.9875,0.0083
1086,nata,1.1916,1.00217,0.00846
1086,nata,1.1958,0.99577,0.00851
1086,nata,1.2001,0.99916,0.00861
1086,nata,1.2044,0.99084,0.00865
1086,nata,1.2087,0.99574,0.00886
1086,nata,1.213,1.02722,0.00884
1086,nata,1.2172,0.99922,0.00872
1086,nata,1.2215,0.99733,0.0086
1086,nata,1.2258,0.99801,0.00869
1086,nata,1.2301,0.99064,0.00858
1086,nata,1.2344,0.99531,0.00856
1086,nata,1.2387,0.99452,0.00851
1086,nata,1.243,0.99806,0.00845
1086,nata,1.2473,1.0107,0.00849
1086,nata,1.2517,0.99931,0.00844
1086,nata,1.256,1.00337,0.00852
1086,nata,1.2603,0.99642,0.00865
1086,nata,1.2646,0.9902,0.00884
1086,nata,1.2689,0.98975,0.00911
1086,nata,1.2732,0.98612,0.00915
