WAVELENGTH,REFLECTANCE,UNCERTAINTY,family
2.2511,1.04706,0.00276,elektra
2.2541,1.04150,0.00275,elektra
2.2571,1.04636,0.00277,elektra
2.2601,1.04486,0.00278,elektra
2.2631,1.04937,0.00279,elektra
2.2661,1.04215,0.00279,elektra
2.2691,1.04511,0.00281,elektra
2.2721,1.04525,0.00282,elektra
2.2751,1.04232,0.00283,elektra
2.2781,1.04272,0.00284,elektra
2.2811,1.04566,0.00285,elektra
2.2840,1.04630,0.00284,elektra
2.2870,1.04234,0.00285,elektra
2.2900,1.04285,0.00287,elektra
2.2929,1.04250,0.00300,elektra
2.2959,1.04069,0.00293,elektra
2.2988,1.03828,0.00295,elektra
2.3017,1.04045,0.00294,elektra
2.3047,1.04138,0.00294,elektra
2.3076,1.03639,0.00292,elektra
2.3105,1.03944,0.00299,elektra
2.3134,1.03678,0.00297,elektra
2.3163,1.04034,0.00300,elektra
2.3193,1.03849,0.00303,elektra
2.3222,1.03671,0.00305,elektra
2.3251,1.02866,0.00304,elektra
2.3280,1.04093,0.00303,elektra
2.3308,1.03455,0.00302,elektra
2.3337,1.03547,0.00306,elektra
2.3366,1.03768,0.00310,elektra
2.3395,1.03747,0.00311,elektra
2.3424,1.03903,0.00316,elektra
2.3452,1.03967,0.00322,elektra
2.3481,1.03576,0.00325,elektra
2.3509,1.04044,0.00328,elektra
2.3538,1.03937,0.00327,elektra
2.3566,1.04427,0.00330,elektra
2.3595,1.04265,0.00326,elektra
2.3623,1.04608,0.00333,elektra
2.3651,1.03817,0.00349,elektra
2.3680,1.05179,0.00368,elektra
2.3708,1.04678,0.00378,elektra
2.3736,1.03802,0.00366,elektra
2.3764,1.03762,0.00356,elektra
2.3792,1.04675,0.00351,elektra
2.3820,1.04515,0.00348,elektra
2.3848,1.04917,0.00350,elektra
2.3876,1.05156,0.00352,elektra
2.3904,1.04482,0.00355,elektra
2.3932,1.04980,0.00351,elektra
2.3960,1.04061,0.00349,elektra
2.3988,1.04417,0.00350,elektra
2.4016,1.04338,0.00352,elektra
2.4043,1.04684,0.00355,elektra
2.4071,1.04947,0.00359,elektra
2.4099,1.04350,0.00370,elektra
2.4127,1.05068,0.00382,elektra
2.4154,1.04824,0.00382,elektra
2.4182,1.04257,0.00386,elektra
2.4209,1.03782,0.00383,elektra
2.4237,1.04507,0.00380,elektra
2.4264,1.05022,0.00379,elektra
2.4292,1.05160,0.00395,elektra
2.4320,1.05028,0.00398,elektra
2.4347,1.04817,0.00400,elektra
2.4375,1.05051,0.00407,elektra
2.4402,1.04326,0.00422,elektra
2.4430,1.04853,0.00428,elektra
2.4457,1.04566,0.00460,elektra
2.4484,1.03623,0.00495,elektra
2.4512,1.03770,0.00497,elektra
2.4539,1.04899,0.00461,elektra
2.4567,1.03823,0.00442,elektra
2.4594,1.04620,0.00428,elektra
2.4622,1.05451,0.00427,elektra
2.4649,1.04105,0.00445,elektra
2.4676,1.04117,0.00467,elektra
2.4704,1.04366,0.00468,elektra
2.4731,1.04977,0.00484,elektra
2.4759,1.02888,0.00510,elektra
2.4787,1.05320,0.00537,elektra
2.4814,1.04733,0.00551,elektra
2.4842,1.03629,0.00582,elektra
2.4869,1.04407,0.00620,elektra
2.4897,1.03773,0.00637,elektra
2.4924,1.04983,0.00625,elektra
2.4952,1.04159,0.00608,elektra
2.4980,1.04006,0.00615,elektra
2.5008,1.04236,0.00627,elektra
