asteroid number,asteroid name,wavelength,reflectance,uncertainty
192,nausikaa,1.9308,0.98843,0.00372
192,nausikaa,1.9343,0.98257,0.00360
192,nausikaa,1.9378,0.99248,0.00354
192,nausikaa,1.9413,0.98140,0.00347
192,nausikaa,1.9448,1.00543,0.00354
192,nausikaa,1.9482,1.01478,0.00358
192,nausikaa,1.9517,1.00658,0.00370
192,nausikaa,1.9552,0.98900,0.00367
192,nausikaa,1.9586,0.98660,0.00375
192,nausikaa,1.9621,0.98549,0.00370
192,nausikaa,1.9655,0.98995,0.00358
192,nausikaa,1.9689,0.97358,0.00338
192,nausikaa,1.9724,1.00296,0.00333
192,nausikaa,1.9758,0.98788,0.00313
192,nausikaa,1.9792,0.97759,0.00303
192,nausikaa,1.9827,0.96850,0.00290
192,nausikaa,1.9861,0.98698,0.00293
192,nausikaa,1.9895,0.99839,0.00295
192,nausikaa,1.9929,1.01707,0.00306
192,nausikaa,1.9963,1.01123,0.00320
192,nausikaa,1.9997,1.00024,0.00353
192,nausikaa,2.0031,0.98338,0.00390
192,nausikaa,2.0065,1.00436,0.00442
192,nausikaa,2.0098,1.00198,0.00469
192,nausikaa,2.0132,1.00317,0.00473
192,nausikaa,2.0166,0.98012,0.00434
192,nausikaa,2.0200,0.99440,0.00407
192,nausikaa,2.0233,1.00679,0.00376
192,nausikaa,2.0267,1.01506,0.00354
192,nausikaa,2.0300,0.99517,0.00328
192,nausikaa,2.0334,0.99980,0.00320
192,nausikaa,2.0367,0.99089,0.00310
192,nausikaa,2.0401,1.00199,0.00311
192,nausikaa,2.0434,1.00607,0.00315
192,nausikaa,2.0467,1.01315,0.00325
192,nausikaa,2.0501,1.00205,0.00332
192,nausikaa,2.0534,1.00448,0.00350
192,nausikaa,2.0567,1.00317,0.00354
192,nausikaa,2.0600,1.01066,0.00366
192,nausikaa,2.0633,1.00045,0.00364
192,nausikaa,2.0666,0.98988,0.00372
192,nausikaa,2.0699,0.98222,0.00357
192,nausikaa,2.0732,0.99385,0.00358
192,nausikaa,2.0765,0.99479,0.00353
192,nausikaa,2.0798,0.99183,0.00347
192,nausikaa,2.0831,0.98803,0.00327
192,nausikaa,2.0864,0.99655,0.00325
192,nausikaa,2.0896,0.98801,0.00320
192,nausikaa,2.0929,0.99729,0.00325
192,nausikaa,2.0962,0.99063,0.00322
192,nausikaa,2.0994,0.99504,0.00325
192,nausikaa,2.1027,0.99122,0.00324
192,nausikaa,2.1059,0.99671,0.00327
192,nausikaa,2.1092,0.99095,0.00324
192,nausikaa,2.1124,1.00763,0.00331
192,nausikaa,2.1157,0.99832,0.00329
192,nausikaa,2.1189,0.99530,0.00330
192,nausikaa,2.1221,0.99093,0.00330
192,nausikaa,2.1253,1.00121,0.00331
192,nausikaa,2.1286,1.00342,0.00333
192,nausikaa,2.1318,1.01841,0.00340
192,nausikaa,2.1350,1.00604,0.00335
192,nausikaa,2.1382,1.01464,0.00340
192,nausikaa,2.1414,1.00913,0.00337
192,nausikaa,2.1446,1.00356,0.00340
192,nausikaa,2.1478,1.00908,0.00340
192,nausikaa,2.1510,1.01727,0.00346
192,nausikaa,2.1541,1.00687,0.00344
192,nausikaa,2.1573,1.03328,0.00353
192,nausikaa,2.1605,1.02840,0.00353
192,nausikaa,2.1637,1.03125,0.00361
